model,subject_id,test_acc,test_top3_acc,test_loss,merged_acc,f1_before_merge,f1_merged
dgcnn_aux,1,0.6396801471710205,0.8493422865867615,1.8659576177597046,0.875224769115448,0.5552245793566033,0.8700048169775996
dgcnn_aux,2,0.6961654424667358,0.8885893821716309,1.3443025350570679,0.8911457061767578,0.6005327766578172,0.8949255193948049
dgcnn_aux,3,0.7403703927993774,0.9182839393615723,1.030623197555542,0.9253275394439697,0.6595708221167117,0.9307917175888676
dgcnn_aux,4,0.5045477747917175,0.664729654788971,6.2577362060546875,0.6947953701019287,0.3937179573303421,0.4878605129905655
dgcnn_aux,5,0.6788221597671509,0.8725498914718628,1.3697878122329712,0.9094265699386597,0.5600569968796693,0.9090899455953152
dgcnn_aux,6,0.6910824179649353,0.860847532749176,1.6114866733551025,0.8969129920005798,0.6054159593203888,0.8914374376394226
dgcnn_aux,7,0.7777886390686035,0.921267569065094,0.7206547260284424,0.9305100440979004,0.7132526904570765,0.9363253003613796
dgcnn_aux,8,0.713840126991272,0.8901167511940002,1.269911289215088,0.9063808917999268,0.6565858009810306,0.9097641552620801
dgcnn_aux,9,0.7221283316612244,0.8845854997634888,1.054203987121582,0.9128568172454834,0.6115770585551492,0.9160620642172572
dgcnn_aux,10,0.4669816493988037,0.7230284810066223,3.050588369369507,0.7716278433799744,0.34282060899300887,0.731521321585828
dgcnn_aux,11,0.6980787515640259,0.8578256964683533,3.294433116912842,0.862980306148529,0.5909757596772878,0.8557729738264406
dgcnn_aux,12,0.75009685754776,0.9095408320426941,1.0239527225494385,0.9141024947166443,0.6644283691680257,0.9180788094231228
dgcnn_aux,13,0.6759678721427917,0.8660336136817932,1.372304081916809,0.8888239860534668,0.5999997866187176,0.8849522669143743
dgcnn_aux,14,0.6784484386444092,0.8399492502212524,1.3480355739593506,0.8537248373031616,0.5773805724853529,0.8426329224928873
dgcnn_aux,15,0.6724553108215332,0.8726682066917419,1.2136036157608032,0.9081283807754517,0.5499755547868587,0.9151297442827702
dgcnn_aux,16,0.7366375923156738,0.8951299786567688,1.1027544736862183,0.937915563583374,0.6228234707447182,0.9394706711443918
dgcnn_aux,17,0.7120416164398193,0.8699089884757996,1.1623035669326782,0.8916515111923218,0.6395854381927509,0.8962305987156636
dgcnn_aux,18,0.8454990983009338,0.9489296078681946,0.4754663109779358,0.9391282200813293,0.4978918204648354,0.6217939236389501
dgcnn_aux,19,0.7114505171775818,0.8726940155029297,1.3542723655700684,0.9027053117752075,0.6416227550207019,0.9133827885933031
dgcnn_aux,20,0.7136287093162537,0.8669270873069763,2.569700241088867,0.9006527662277222,0.6329506009966905,0.9047690710312505
dgcnn_aux_fusion_t_v2,1,0.695892870426178,0.8528910875320435,1.9722143411636353,0.8823223114013672,0.6096820159076507,0.8724163329023847
dgcnn_aux_fusion_t_v2,2,0.8133395314216614,0.9266558289527893,0.8521091938018799,0.9353474378585815,0.7408488184849221,0.9403878949497408
dgcnn_aux_fusion_t_v2,3,0.7922864556312561,0.9421239495277405,1.1074086427688599,0.9466555118560791,0.735230413951582,0.951522201578999
dgcnn_aux_fusion_t_v2,4,0.7380831837654114,0.8897591233253479,1.7629642486572266,0.9199090600013733,0.5794727041883211,0.6613703946038761
dgcnn_aux_fusion_t_v2,5,0.8047224283218384,0.941608190536499,0.7478147745132446,0.9436138272285461,0.7370817090711658,0.9439345301486499
dgcnn_aux_fusion_t_v2,6,0.7639861106872559,0.8977716565132141,1.6254642009735107,0.9150315523147583,0.6816620434412675,0.9093262593047572
dgcnn_aux_fusion_t_v2,7,0.8381338715553284,0.9436158537864685,0.8043611645698547,0.9422465562820435,0.783051408039664,0.9468666359592804
dgcnn_aux_fusion_t_v2,8,0.7977898716926575,0.9279921650886536,1.1893976926803589,0.9341859221458435,0.7449941363997475,0.9371547764833408
dgcnn_aux_fusion_t_v2,9,0.8008677959442139,0.9186572432518005,0.9755939841270447,0.940397322177887,0.7157981992585015,0.943564495984024
dgcnn_aux_fusion_t_v2,10,0.7727528214454651,0.912363588809967,1.2427500486373901,0.9183260202407837,0.6998720536240765,0.9182965923631173
dgcnn_aux_fusion_t_v2,11,0.7601218223571777,0.896391749382019,2.158857822418213,0.8957356810569763,0.6849497361614165,0.8934130326542942
dgcnn_aux_fusion_t_v2,12,0.8008348941802979,0.9316607117652893,0.9399078488349915,0.9365236759185791,0.7056115256015403,0.9388668398329171
dgcnn_aux_fusion_t_v2,13,0.7739469408988953,0.9183832406997681,1.1827301979064941,0.931531548500061,0.7155575543460077,0.92665805189862
dgcnn_aux_fusion_t_v2,14,0.7920971512794495,0.9132983088493347,1.2658135890960693,0.9176484942436218,0.7100092112180055,0.9202012760498515
dgcnn_aux_fusion_t_v2,15,0.7471850514411926,0.9084084630012512,1.3828370571136475,0.9445409178733826,0.6518041400846237,0.9493826519359031
dgcnn_aux_fusion_t_v2,16,0.7530006170272827,0.9102841019630432,1.2870887517929077,0.9428374171257019,0.6500918621222543,0.9446330461128017
dgcnn_aux_fusion_t_v2,17,0.7978153228759766,0.9213523864746094,1.0682417154312134,0.9287385940551758,0.7496960022801349,0.9346382372982224
dgcnn_aux_fusion_t_v2,18,0.8578798174858093,0.9362909197807312,0.5265514850616455,0.9432550668716431,0.5471591367538975,0.6269768977198953
dgcnn_aux_fusion_t_v2,19,0.7909428477287292,0.9122250080108643,1.1742051839828491,0.9414833784103394,0.7115570082908952,0.9470837728648296
dgcnn_aux_fusion_t_v2,20,0.7752942442893982,0.9090099930763245,1.9968807697296143,0.9261200428009033,0.7119363654761198,0.928583182882406
dgcnn_mmc_t,1,0.6793792247772217,0.8520866632461548,1.7645734548568726,0.8663764595985413,0.6012934825118799,0.8578660449769141
dgcnn_mmc_t,2,0.7778294086456299,0.9207994341850281,1.0735938549041748,0.9353939294815063,0.6994653489755321,0.9427596125860721
dgcnn_mmc_t,3,0.7871638536453247,0.9348340034484863,0.8869189620018005,0.9410402774810791,0.7231968501009585,0.9470059581681927
dgcnn_mmc_t,4,0.6914266347885132,0.8393970131874084,1.6063891649246216,0.8687047362327576,0.5005694529419801,0.6004333383661733
dgcnn_mmc_t,5,0.7549457550048828,0.9156258702278137,0.988487720489502,0.9256541132926941,0.6708712304929938,0.920835635130664
dgcnn_mmc_t,6,0.7465115189552307,0.88386070728302,1.182694911956787,0.9076038002967834,0.6653354788108151,0.9045496069810114
dgcnn_mmc_t,7,0.7890361547470093,0.9218543767929077,0.8790352940559387,0.9173553586006165,0.7112730883878913,0.9216587886786438
dgcnn_mmc_t,8,0.736609935760498,0.8978700637817383,1.2199137210845947,0.9152036309242249,0.6618367976504514,0.9185841653803806
dgcnn_mmc_t,9,0.7827357649803162,0.9126741290092468,0.8054139614105225,0.9326330423355103,0.6933403825989755,0.9348388115129188
dgcnn_mmc_t,10,0.7323095798492432,0.8805264830589294,1.1284065246582031,0.9030824899673462,0.65083663663435,0.9018969097544152
dgcnn_mmc_t,11,0.7078725695610046,0.8542643189430237,2.2558889389038086,0.8835051655769348,0.6206534405166766,0.8845463130536741
dgcnn_mmc_t,12,0.7679132223129272,0.9093686938285828,0.954081654548645,0.916942834854126,0.6525653290240535,0.9242042223252019
dgcnn_mmc_t,13,0.7171658277511597,0.8887752890586853,1.1981993913650513,0.9196493625640869,0.6394977947238473,0.9162692241878397
dgcnn_mmc_t,14,0.7438220977783203,0.8749924302101135,1.0715667009353638,0.877530038356781,0.6326844440356791,0.8665081369817675
dgcnn_mmc_t,15,0.6703826189041138,0.8619124889373779,1.6819119453430176,0.9113215208053589,0.5358252293385858,0.9158487936138722
dgcnn_mmc_t,16,0.7281754612922668,0.8646489977836609,2.2077958583831787,0.9271652102470398,0.605053161823806,0.9323368556996432
dgcnn_mmc_t,17,0.7801300287246704,0.9006502032279968,1.2467610836029053,0.9127698540687561,0.7120778407171843,0.9145070128279247
dgcnn_mmc_t,18,0.855042576789856,0.9525406360626221,0.6417433619499207,0.926489531993866,0.5302999653499993,0.6040493180176704
dgcnn_mmc_t,19,0.7350615859031677,0.8789329528808594,1.7244905233383179,0.9007153511047363,0.6430366056538418,0.910353641160469
dgcnn_mmc_t,20,0.7605083584785461,0.9028780460357666,1.5734202861785889,0.9318069219589233,0.688346421173578,0.936057435714043
pointmlp_aux,8,0.7079582810401917,0.8717582821846008,0.8989355564117432,0.8920773267745972,0.6301163963650509,0.896731978031922
pointnet_aux,8,0.8041618466377258,0.9290615916252136,0.7073537111282349,0.9423848390579224,0.7555606358669105,0.9450573704592038
pointnext_aux,8,0.7885215282440186,0.9231797456741333,0.8395815491676331,0.9355226755142212,0.7310380050331091,0.9386324384707656
pointtransformer_aux,8,0.7192763686180115,0.9033063054084778,0.907318115234375,0.9152036309242249,0.6307514733927453,0.9176692412538525
pointtransformerv3,1,0.1252957284450531,0.2398504763841629,3.236781120300293,0.1252957284450531,0.007422980965996692,0.05567235724497519
pointtransformerv3,2,0.7062049508094788,0.8835231065750122,0.8559088706970215,0.9234952330589294,0.5883340505028799,0.9261148054563946
pointtransformerv3,3,0.687075138092041,0.8756772875785828,0.9539551138877869,0.9271500110626221,0.5547617369120011,0.9326965335625699
pointtransformerv3,4,0.6520970463752747,0.8307225704193115,1.3348066806793213,0.890180230140686,0.4596565814722536,0.6295293184167211
pointtransformerv3,5,0.67266845703125,0.8784301280975342,0.9802339673042297,0.9163095951080322,0.5338207740316996,0.9133244412607224
pointtransformerv3,6,0.6639044880867004,0.8343566060066223,1.1577904224395752,0.8929200172424316,0.5330390300681271,0.8923001853078192
pointtransformerv3,7,0.6302997469902039,0.8407257199287415,1.0674024820327759,0.8645410537719727,0.48657299397560216,0.8681809816497518
pointtransformerv3,8,0.6960163712501526,0.8819624185562134,0.8845018148422241,0.9113715291023254,0.5922559485717341,0.9133330612351991
pointtransformerv3,9,,,,,,
pointtransformerv3,10,0.6680728793144226,0.8680391311645508,0.9435176849365234,0.9084823727607727,0.5535802903920081,0.9077722701109368
pointtransformerv3,11,0.6668696999549866,0.856888473033905,1.6823475360870361,0.867713212966919,0.5535048049819047,0.8692401050521159
pointtransformerv3,12,0.6695786714553833,0.8643112182617188,1.0059974193572998,0.8808796405792236,0.5181630699516876,0.8801563545143873
pointtransformerv3,13,0.6544923186302185,0.8605794906616211,1.102912187576294,0.9058193564414978,0.5476877008534976,0.9066113877404415
pointtransformerv3,14,0.2700743079185486,0.5058909058570862,2.379267454147339,0.5816566944122314,0.12762505668875135,0.5319786722655533
pointtransformerv3,15,0.6121785640716553,0.8345751166343689,1.2795724868774414,0.8930031657218933,0.46927351410859025,0.8975350997664531
pointtransformerv3,16,0.6717036366462708,0.8638286590576172,0.9816514253616333,0.8972886800765991,0.5633275165992533,0.8965442019717715
pointtransformerv3,17,0.6616384983062744,0.8610143065452576,1.0389755964279175,0.8977893590927124,0.5696239447392794,0.902162239555585
pointtransformerv3,18,0.6897085309028625,0.9043074250221252,0.8593586087226868,0.9344854354858398,0.38111903757851123,0.5964182944817111
